"name","email","birthday","frequency"
"Tristan","tristan@test.nl","2023-08-18","1 week ervoor;1 dag ervoor;Op de dag"
"Bo Donkersloot","bo@test.nl","1997-08-30","Op de dag"
"Marijn","t7133657@gmail.com","1997-08-16","1 week ervoor;1 dag ervoor;Op de dag"
"Kwinten","kwinten@test.nl","1997-08-18","1 week ervoor;1 dag ervoor;Op de dag"
"Pa","daddy@test.nl","1997-11-04","Op de dag"
"Pim","pimduif@test.nl","1996-12-29","1 week ervoor;Op de dag"
"Don","donno@test.nl","1997-09-19","1 dag ervoor"
"Ronald","ronno@test.nl","1995-08-23","1 dag ervoor"
"Test bro1","testbro1@test.nl","1997-01-28","1 week ervoor;Op de dag"
"Test bro2","testbro2@test.nl","1998-01-29","1 week ervoor;Op de dag"
"Test bro3","testbro3@test.nl","1996-02-04","1 week ervoor;1 dag ervoor;Op de dag"
"Test bro4","testbro4@test.nl","1996-02-04","1 week ervoor;1 dag ervoor;Op de dag"
"Test bro5","testbro5@test.nl","1996-02-04","Op de dag"
